CandidateID,JobID,Skill Match %,Experience Fit %,Final Match Score
783,55,100.0,100.0,100.0
680,27,100.0,100.0,100.0
558,6,100.0,100.0,100.0
545,61,100.0,100.0,100.0
695,8,100.0,100.0,100.0
165,61,100.0,100.0,100.0
183,2,100.0,100.0,100.0
31,102,100.0,100.0,100.0
864,27,100.0,100.0,100.0
658,150,100.0,100.0,100.0
968,55,100.0,100.0,100.0
832,55,100.0,100.0,100.0
219,35,100.0,100.0,100.0
828,55,100.0,100.0,100.0
618,95,100.0,100.0,100.0
392,95,100.0,100.0,100.0
9,55,100.0,100.0,100.0
78,70,100.0,100.0,100.0
932,51,100.0,100.0,100.0
881,99,100.0,100.0,100.0
832,21,100.0,100.0,100.0
312,114,100.0,100.0,100.0
72,73,100.0,100.0,100.0
457,27,100.0,100.0,100.0
499,27,100.0,100.0,100.0
970,73,100.0,100.0,100.0
620,147,100.0,100.0,100.0
425,131,100.0,100.0,100.0
890,21,100.0,100.0,100.0
499,99,100.0,100.0,100.0
113,31,100.0,100.0,100.0
539,131,100.0,100.0,100.0
818,90,100.0,100.0,100.0
314,61,100.0,100.0,100.0
475,147,100.0,100.0,100.0
639,67,100.0,100.0,100.0
815,2,100.0,100.0,100.0
810,112,100.0,100.0,100.0
704,31,100.0,100.0,100.0
959,90,100.0,100.0,100.0
885,67,100.0,100.0,100.0
408,35,100.0,100.0,100.0
628,90,100.0,100.0,100.0
821,67,100.0,100.0,100.0
312,67,100.0,100.0,100.0
742,120,100.0,100.0,100.0
793,120,100.0,100.0,100.0
335,131,100.0,100.0,100.0
662,67,100.0,100.0,100.0
890,147,100.0,100.0,100.0
244,42,100.0,100.0,100.0
786,142,100.0,100.0,100.0
769,15,100.0,100.0,100.0
52,137,100.0,100.0,100.0
988,4,100.0,100.0,100.0
465,8,100.0,100.0,100.0
799,11,100.0,100.0,100.0
988,136,100.0,100.0,100.0
774,4,100.0,100.0,100.0
78,11,100.0,100.0,100.0
988,73,100.0,100.0,100.0
19,6,100.0,100.0,100.0
536,131,100.0,100.0,100.0
657,129,100.0,100.0,100.0
11,65,100.0,100.0,100.0
832,147,100.0,100.0,100.0
347,61,100.0,100.0,100.0
2,43,100.0,100.0,100.0
355,11,100.0,100.0,100.0
773,120,100.0,100.0,100.0
93,86,100.0,100.0,100.0
462,80,100.0,100.0,100.0
53,103,100.0,100.0,100.0
653,63,100.0,100.0,100.0
769,100,100.0,100.0,100.0
704,11,100.0,100.0,100.0
620,21,100.0,100.0,100.0
838,112,100.0,100.0,100.0
696,61,100.0,100.0,100.0
231,131,100.0,100.0,100.0
314,8,100.0,100.0,100.0
431,3,100.0,100.0,100.0
867,142,100.0,100.0,100.0
739,21,100.0,100.0,100.0
86,79,100.0,100.0,100.0
486,142,100.0,100.0,100.0
396,114,100.0,100.0,100.0
121,80,100.0,100.0,100.0
125,80,100.0,100.0,100.0
928,142,100.0,100.0,100.0
933,99,100.0,100.0,100.0
52,11,100.0,100.0,100.0
577,43,100.0,100.0,100.0
82,131,100.0,100.0,100.0
112,131,100.0,100.0,100.0
79,80,100.0,100.0,100.0
29,65,100.0,100.0,100.0
263,42,100.0,100.0,100.0
32,67,100.0,100.0,100.0
183,31,100.0,100.0,100.0
51,103,100.0,100.0,100.0
931,103,100.0,100.0,100.0
863,103,100.0,100.0,100.0
352,22,100.0,100.0,100.0
799,103,100.0,100.0,100.0
577,129,100.0,100.0,100.0
505,131,100.0,100.0,100.0
454,100,100.0,100.0,100.0
190,55,100.0,100.0,100.0
585,40,100.0,100.0,100.0
312,127,100.0,100.0,100.0
304,142,100.0,100.0,100.0
614,131,100.0,100.0,100.0
348,137,100.0,100.0,100.0
978,35,100.0,100.0,100.0
394,137,100.0,100.0,100.0
901,6,100.0,100.0,100.0
201,142,100.0,100.0,100.0
568,128,100.0,100.0,100.0
78,2,100.0,100.0,100.0
52,63,100.0,100.0,100.0
78,63,100.0,100.0,100.0
300,4,100.0,100.0,100.0
602,51,100.0,100.0,100.0
475,55,100.0,100.0,100.0
275,129,100.0,100.0,100.0
583,42,100.0,100.0,100.0
475,21,100.0,100.0,100.0
394,11,100.0,100.0,100.0
743,17,100.0,100.0,100.0
289,27,100.0,100.0,100.0
426,137,100.0,100.0,100.0
347,65,100.0,100.0,100.0
745,93,100.0,100.0,100.0
743,137,100.0,100.0,100.0
57,90,100.0,100.0,100.0
488,120,100.0,100.0,100.0
703,120,100.0,100.0,100.0
347,144,100.0,100.0,100.0
198,31,100.0,100.0,100.0
901,125,100.0,100.0,100.0
858,80,100.0,100.0,100.0
153,129,100.0,100.0,100.0
807,31,100.0,100.0,100.0
970,22,100.0,100.0,100.0
639,65,100.0,100.0,100.0
402,65,100.0,100.0,100.0
79,26,100.0,100.0,100.0
457,99,100.0,100.0,100.0
331,95,100.0,100.0,100.0
323,95,100.0,100.0,100.0
992,89,100.0,100.0,100.0
594,102,100.0,100.0,100.0
222,8,100.0,100.0,100.0
47,89,100.0,100.0,100.0
67,89,100.0,100.0,100.0
799,70,100.0,100.0,100.0
471,65,100.0,100.0,100.0
962,35,100.0,100.0,100.0
988,35,100.0,100.0,100.0
372,128,100.0,100.0,100.0
641,102,100.0,100.0,100.0
749,142,100.0,100.0,100.0
525,55,100.0,100.0,100.0
222,28,100.0,100.0,100.0
739,137,100.0,100.0,100.0
902,17,100.0,100.0,100.0
394,63,100.0,100.0,100.0
220,111,100.0,100.0,100.0
122,63,100.0,100.0,100.0
233,42,100.0,100.0,100.0
18,131,100.0,100.0,100.0
280,131,100.0,100.0,100.0
725,89,100.0,100.0,100.0
513,112,100.0,100.0,100.0
667,112,100.0,100.0,100.0
639,99,100.0,100.0,100.0
67,80,100.0,100.0,100.0
507,99,100.0,100.0,100.0
71,112,100.0,100.0,100.0
667,27,100.0,100.0,100.0
729,72,100.0,100.0,100.0
47,112,100.0,100.0,100.0
453,112,100.0,100.0,100.0
522,61,100.0,100.0,100.0
986,15,100.0,100.0,100.0
986,90,100.0,100.0,100.0
442,15,100.0,100.0,100.0
933,27,100.0,100.0,100.0
25,80,100.0,100.0,100.0
246,2,100.0,100.0,100.0
166,2,100.0,100.0,100.0
843,101,100.0,100.0,100.0
11,102,100.0,100.0,100.0
399,73,100.0,80.0,94.0
71,8,100.0,75.0,92.5
78,137,100.0,75.0,92.5
313,95,100.0,75.0,92.5
620,143,88.89,100.0,92.22
248,138,88.89,100.0,92.22
93,41,88.89,100.0,92.22
534,46,88.89,100.0,92.22
745,20,88.89,100.0,92.22
426,71,88.89,100.0,92.22
558,122,88.89,100.0,92.22
769,110,88.89,100.0,92.22
567,132,87.5,100.0,91.25
725,34,87.5,100.0,91.25
445,29,87.5,100.0,91.25
523,132,87.5,100.0,91.25
745,132,87.5,100.0,91.25
708,29,87.5,100.0,91.25
5,44,87.5,100.0,91.25
25,7,87.5,100.0,91.25
190,77,87.5,100.0,91.25
372,1,87.5,100.0,91.25
93,109,87.5,100.0,91.25
881,53,87.5,100.0,91.25
19,81,87.5,100.0,91.25
821,25,87.5,100.0,91.25
620,77,87.5,100.0,91.25
280,94,87.5,100.0,91.25
153,133,87.5,100.0,91.25
910,109,87.5,100.0,91.25
657,72,87.5,100.0,91.25
878,92,87.5,100.0,91.25
753,50,87.5,100.0,91.25
567,7,87.5,100.0,91.25
523,7,87.5,100.0,91.25
525,58,87.5,100.0,91.25
190,24,87.5,100.0,91.25
41,126,87.5,100.0,91.25
580,25,87.5,100.0,91.25
15,18,87.5,100.0,91.25
767,24,87.5,100.0,91.25
248,75,87.5,100.0,91.25
32,25,87.5,100.0,91.25
243,18,87.5,100.0,91.25
773,94,87.5,100.0,91.25
188,50,87.5,100.0,91.25
29,115,87.5,100.0,91.25
849,7,87.5,100.0,91.25
191,58,87.5,100.0,91.25
18,77,87.5,100.0,91.25
41,18,87.5,100.0,91.25
568,82,87.5,100.0,91.25
848,50,87.5,100.0,91.25
737,72,87.5,100.0,91.25
476,62,87.5,100.0,91.25
661,92,87.5,100.0,91.25
18,24,87.5,100.0,91.25
867,24,87.5,100.0,91.25
372,133,87.5,100.0,91.25
370,87,87.5,100.0,91.25
81,75,87.5,100.0,91.25
341,1,87.5,100.0,91.25
111,34,87.5,100.0,91.25
243,111,85.71,100.0,90.0
